ETF,Omega,riskness,ASKSR
XLRE,1,18,18
WREI,2,28,28
WPS,3,21,21
VNQI,4,31,31
VNQ,5,36,36
USRT,6,30,30
URE,7,34,34
TAO,8,12,14
SRS,9,19,19
SRET,10,4,4
SCHH,11,25,24
RWX,12,22,23
RWR,13,38,38
RWO,14,29,29
ROOF,15,14,13
REZ,16,33,33
REM,17,24,25
REK,18,5,5
REET,19,13,12
PSR,20,37,37
PRME,21,6,6
MRRL,22,2,2
MORT,23,7,7
MORL,24,3,3
LRET,25,11,11
KBWY,26,20,20
IYR,27,35,35
IFGL,28,16,16
IFEU,29,23,22
ICF,30,39,39
GRI,31,26,26
GQRE,32,32,32
FRI,33,10,9
FREL,34,9,10
FFR,35,27,27
EWRE,36,15,15
DRW,37,17,17
DRV,38,1,1
DRN,39,8,8